anio,region_label,region_slug,q1,q2,q3,q4,vivienda_m2_eur_corriente,deflactor_hasta_1986,vivienda_m2_eur_a_1986,anio_base,vivienda_m2_pct_desde_base,pib_per_capita_eur_a_1986,pib_per_capita_pct_desde_1995
2022,Castilla y León,castilla_y_leon,1045.0,1052.4,1044.9,1052.3,1048.65,0.33,346.0545,1995,-11.586817780003356,9648.03,34.686945960660594
2023,Castilla y León,castilla_y_leon,1056.6,1056.2,1054.0,1073.1,1059.975,0.32,339.19199999999995,1995,-13.340112313045793,10041.48,40.17952619602696
2024,Castilla y León,castilla_y_leon,1080.3,1083.0,1096.6,1111.4,1092.825,0.32,349.704,1995,-10.654409998824732,10559.01,47.40426898217302
2025,Castilla y León,castilla_y_leon,1140.7,1172.5,1203.7,1233.7,1187.65,0.32,380.04800000000006,1995,-2.901846164851818,,
1995,Cataluña,cataluna,735.0,744.6,750.4,754.3,746.075,0.62,462.5665,1995,0.0,7163.3,0.0
1996,Cataluña,cataluna,754.3,758.1,765.9,777.4,763.925,0.6,458.35499999999996,1995,-0.9104636846810288,7318.4,2.1652031884745737
1997,Cataluña,cataluna,781.3,787.1,792.9,802.5,790.95,0.59,466.6605,1995,0.8850619316357777,7587.08,5.91598844108161
1998,Cataluña,cataluna,812.2,833.4,860.4,883.5,847.375,0.57,483.00374999999997,1995,4.418229595096035,7939.61,10.83732357991427
1999,Cataluña,cataluna,918.3,949.1,974.2,1014.7,964.075,0.56,539.8820000000001,1995,16.714461596332654,8275.28,15.523292337330563
2000,Cataluña,cataluna,1039.8,1078.4,1107.3,1144.0,1092.375,0.54,589.8825,1995,27.523826303893607,8674.65,21.098516047073268
2001,Cataluña,cataluna,1178.7,1217.3,1230.8,1275.1,1225.475,0.52,637.247,1995,37.76332700271203,9000.89,25.652841567433992
2002,Cataluña,cataluna,1306.0,1340.7,1363.9,1410.2,1355.2,0.51,691.152,1995,49.416786559337964,9300.17,29.83080423827007
2003,Cataluña,cataluna,1456.5,1520.1,1562.6,1632.0,1542.8,0.49,755.972,1995,63.42990683501721,9472.84,32.24128544106766
